second,Latitude,Longitude
126986796,35.5874297,51.2058283
127167520,35.5874297,51.2058283
127389050,35.5874298,51.2058281
127588727,35.5874298,51.205828
127788791,35.5874297,51.205828
127988765,35.5874297,51.2058278
128188803,35.5874296,51.2058278
128389340,35.5874295,51.2058277
128589044,35.587429,51.2058275
128788758,35.5874286,51.2058275
128988764,35.5874282,51.2058273
129188767,35.587428,51.2058272
129389521,35.5874277,51.205827
129589645,35.5874277,51.205827
129789054,35.5874276,51.2058273
129967193,35.5874276,51.2058278
130188782,35.5874273,51.205829
130389066,35.5874271,51.2058302
130586935,35.5874268,51.2058309
130787067,35.5874264,51.2058316
130986982,35.5874259,51.2058325
131187075,35.5874256,51.2058331
131387047,35.5874254,51.2058339
131587039,35.5874253,51.2058347
131787214,35.5874252,51.2058353
131987053,35.5874251,51.2058358
132187059,35.587425,51.2058364
132387290,35.5874251,51.2058368
132586738,35.587425,51.2058369
132787195,35.587425,51.2058371
132987055,35.5874249,51.2058371
133187208,35.5874249,51.205837
133387058,35.5874248,51.2058371
133587199,35.5874248,51.205837
133786972,35.5874248,51.2058371
133987237,35.5874248,51.2058373
134187209,35.5874249,51.2058372
134387282,35.587425,51.2058372
134587076,35.5874252,51.2058372
134787190,35.5874253,51.2058373
134987203,35.5874255,51.2058372
135187006,35.5874257,51.205837
135387078,35.5874258,51.2058369
135587087,35.587426,51.2058369
135787151,35.5874263,51.2058369
135987077,35.5874266,51.205837
136187182,35.5874269,51.2058373
136387188,35.5874274,51.2058375
136587026,35.5874281,51.2058375
136767167,35.5874286,51.2058371
136987053,35.587429,51.2058369
137187187,35.5874294,51.2058366
137387458,35.5874298,51.2058361
137587070,35.5874302,51.2058358
137787160,35.5874307,51.2058355
137987077,35.5874312,51.2058352
138167455,35.5874315,51.205835
138409429,35.5874317,51.2058348
138587073,35.5874317,51.2058346
138787076,35.5874318,51.2058347
138987053,35.5874319,51.2058347
139208778,35.5874321,51.2058347
139387506,35.5874322,51.2058347
139567472,35.5874323,51.2058348
139787180,35.5874323,51.2058346
139987067,35.5874323,51.2058346
140209358,35.5874321,51.2058347
140387192,35.5874321,51.2058347
140587175,35.5874321,51.2058348
140787193,35.5874322,51.205835
140986743,35.5874323,51.205835
141208756,35.5874323,51.2058351
141387438,35.5874322,51.2058352
141587193,35.5874322,51.2058353
141787589,35.5874322,51.2058354
141987167,35.5874324,51.2058356
142208684,35.5874324,51.2058359
142387176,35.5874325,51.2058361
142586977,35.5874327,51.2058364
142787175,35.5874331,51.205837
142987631,35.5874337,51.2058381
143187169,35.5874345,51.2058396
143409517,35.5874353,51.2058413
143608805,35.587436,51.2058436
143787431,35.5874368,51.2058465
143987196,35.5874376,51.2058498
144209365,35.5874383,51.2058531
144409022,35.5874391,51.2058567
144608741,35.5874399,51.2058604
144808619,35.5874406,51.205864
144987287,35.5874416,51.2058678
145187075,35.5874426,51.2058717
145409072,35.5874435,51.2058756
145608737,35.5874445,51.2058795
145808678,35.5874456,51.2058836
146009052,35.5874464,51.2058876
146209039,35.5874473,51.2058917
146409519,35.5874482,51.2058956
146587048,35.5874489,51.2058994
146808737,35.5874497,51.2059034
147008649,35.5874504,51.2059072
147208957,35.5874511,51.2059111
147409482,35.5874518,51.2059149
147609041,35.5874527,51.2059188
147787211,35.5874536,51.2059224
147987208,35.5874545,51.2059263
148208709,35.5874555,51.2059299
148409016,35.5874565,51.2059336
148608992,35.5874572,51.2059372
148808979,35.5874582,51.2059409
149009012,35.5874591,51.2059446
149187072,35.5874598,51.2059481
149409602,35.5874603,51.2059512
149808790,35.5874617,51.2059579
150009017,35.5874624,51.2059612
150209510,35.5874631,51.2059647
150409360,35.5874639,51.205968
150587290,35.5874648,51.2059716
150809001,35.5874654,51.205975
151009012,35.587466,51.2059779
151208721,35.5874668,51.2059807
151409215,35.5874672,51.2059832
151608996,35.5874675,51.2059856
151809029,35.5874676,51.2059878
152008589,35.5874675,51.2059897
152208760,35.5874674,51.2059916
152409291,35.5874671,51.2059928
152609009,35.5874669,51.2059939
152809041,35.5874668,51.2059951
153009078,35.5874669,51.2059963
153209017,35.5874671,51.2059974
153387282,35.5874671,51.2059981
153608771,35.5874671,51.2059986
153826653,35.5874671,51.2059989
154009441,35.5874669,51.2059989
154209092,35.5874667,51.2059987
154426692,35.5874666,51.2059985
154609045,35.5874666,51.2059986
154787548,35.5874666,51.2059987
155009734,35.5874666,51.2059983
155209932,35.5874667,51.2059975
